symbol,company_name,sector,index
CDNS,Cadence Design Systems,Information Technology,RUSSELL1000
CZR,Caesars Entertainment,Consumer Discretionary,RUSSELL1000
CPT,Camden Property Trust,Real Estate,RUSSELL1000
CPB,Campbell Soup Company,Consumer Staples,RUSSELL1000
COF,Capital One,Financials,RUSSELL1000
CPRI,Capri Holdings,Consumer Discretionary,RUSSELL1000
CAH,Cardinal Health,Health Care,RUSSELL1000
CSL,Carlisle Companies,Industrials,RUSSELL1000
CG,Carlyle Group (The),Financials,RUSSELL1000
KMX,CarMax,Consumer Discretionary,RUSSELL1000
CCL,Carnival Corporation & plc,Consumer Discretionary,RUSSELL1000
CARR,Carrier Global,Industrials,RUSSELL1000
CRI,Carter's,Consumer Discretionary,RUSSELL1000
CVNA,Carvana,Consumer Discretionary,RUSSELL1000
CASY,Casey's,Consumer Staples,RUSSELL1000
CAT,Caterpillar Inc.,Industrials,RUSSELL1000
CAVA,Cava Group,Consumer Discretionary,RUSSELL1000
CBOE,Cboe Global Markets,Financials,RUSSELL1000
CBRE,CBRE Group,Real Estate,RUSSELL1000
CCCS,CCC Intelligent Solutions,Information Technology,RUSSELL1000
CDW,CDW,Information Technology,RUSSELL1000
CE,Celanese,Materials,RUSSELL1000
CELH,Celsius Holdings,Consumer Staples,RUSSELL1000
COR,Cencora,Health Care,RUSSELL1000
CNC,Centene,Health Care,RUSSELL1000
CNP,Centerpoint Energy,Utilities,RUSSELL1000
CERT,"Certara, Inc.",Health Care,RUSSELL1000
CF,CF Industries,Materials,RUSSELL1000
CRL,Charles River Laboratories,Health Care,RUSSELL1000
SCHW,Charles Schwab Corporation,Financials,RUSSELL1000
CHTR,Charter Communications,Communication Services,RUSSELL1000
CHE,Chemed Corporation,Health Care,RUSSELL1000
CC,Chemours,Materials,RUSSELL1000
LNG,Cheniere Energy,Energy,RUSSELL1000
CVX,Chevron Corporation,Energy,RUSSELL1000
CMG,Chipotle Mexican Grill,Consumer Discretionary,RUSSELL1000
CHH,Choice Hotels,Consumer Discretionary,RUSSELL1000
CHRD,Chord Energy,Energy,RUSSELL1000
CB,Chubb Limited,Financials,RUSSELL1000
